date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-06-23,PR,Coronel Vivida,city,3138,78,True,20580,4106506,15247.81341,0.0249
2021-06-23,PR,Corumbataí do Sul,city,334,7,True,3127,4106555,10681.16406,0.021
2021-06-23,PR,Cruzeiro do Iguaçu,city,368,12,True,4240,4106571,8679.24528,0.0326
2021-06-23,PR,Cruzeiro do Oeste,city,2807,65,True,20947,4106605,13400.48694,0.0232
2021-06-23,PR,Cruzeiro do Sul,city,405,12,True,4449,4106704,9103.16925,0.0296
2021-06-23,PR,Cruz Machado,city,984,18,True,18741,4106803,5250.52025,0.0183
2021-06-23,PR,Cruzmaltina,city,233,5,True,2921,4106852,7976.7203,0.0215
2021-06-23,PR,Curitiba,city,168046,5723,True,1948626,4106902,8623.82007,0.0341
2021-06-23,PR,Curiúva,city,1305,21,True,15196,4107009,8587.78626,0.0161
2021-06-23,PR,Diamante D'Oeste,city,597,10,True,5266,4107157,11336.87809,0.0168
2021-06-23,PR,Diamante do Norte,city,280,11,True,5030,4107108,5566.6004,0.0393
2021-06-23,PR,Diamante do Sul,city,346,10,True,3424,4107124,10105.14019,0.0289
2021-06-23,PR,Dois Vizinhos,city,6510,85,True,41038,4107207,15863.34617,0.0131
2021-06-23,PR,Douradina,city,795,7,True,8869,4107256,8963.80652,0.0088
2021-06-23,PR,Doutor Camargo,city,615,11,True,5983,4107306,10279.12419,0.0179
2021-06-23,PR,Doutor Ulysses,city,321,6,True,5552,4128633,5781.70029,0.0187
2021-06-23,PR,Enéas Marques,city,677,16,True,5933,4107405,11410.75341,0.0236
2021-06-23,PR,Engenheiro Beltrão,city,1295,22,True,13981,4107504,9262.57063,0.017
2021-06-23,PR,Entre Rios do Oeste,city,410,4,True,4596,4107538,8920.8007,0.0098
2021-06-23,PR,Esperança Nova,city,289,8,True,1665,4107520,17357.35736,0.0277
2021-06-23,PR,Espigão Alto do Iguaçu,city,373,6,True,4048,4107546,9214.42688,0.0161
2021-06-23,PR,Farol,city,172,3,True,3041,4107553,5656.0342,0.0174
