Município,Código,Demonym ,Prefeito [2017],Area - km^2 [2019],Population Estimate -  [2020],Densidade – hab/km^2 [2010],Schooling (6 to 14 years old) - % [2010],MHDI (Municipal human development index) [2010],Mortalidade Infantil - deaths per 1000 live births [2013],Realized revenue - R$ (*1000) [2017],Committed expenditure - R$ (*1000) [2017],GDP Per Capita - R$ (*1000) [2017]
Mariana,3140001,marianense,DUARTE EUSTÁQUIO GONÇALVES JUNIOR,1194.208,61288,45.4,98,0.742,13.21,309158.77084,257822.34328,48407.28
Marilac,3140100,marilaquense,ALDO FRANÇA SOUTO,158.809,4097,26.57,98.7,0.615,39.22,17517.82802,16167.77995,9889.69
Mário Campos,3140159,mario-campense,ELSON DA SILVA SANTOS JUNIOR,35.196,15619,374.82,98.5,0.699,14.42,32770.10762,42412.15011,10334.55
Maripá de Minas,3140209,maripaense,SEBASTIÃO MACHADO NETO,77.338,2987,36.05,95.6,0.68,54.05,13976.50751,12684.84307,19348.72
Marliéria,3140308,marlierense,GERALDO MAGELA BORGES DE CASTRO,545.813,4034,7.35,98.7,0.657,44.44,18495.34418,16576.22336,9449.08
Marmelópolis,3140407,marmelopolense,CAMILO ALBERTO RIBEIRO DA SILVA,107.902,2728,27.51,99.3,0.65,32.26,12324.05628,11140.3715,10673.03
Martinho Campos,3140506,martinho-campense,JOSE HAILTON DE FREITAS,1058.418,13443,12.03,98.1,0.669,12.9,35180.25354,27134.81626,23874.64
Martins Soares,3140530,martinsoarense,FERNANDO ALMEIDA DE ANDRADE,113.268,8531,63.33,96.7,0.635,9.09,18877.72417,16027.82821,16626.05
Mata Verde,3140555,mataverdense,CARLOS ROBERTO BATISTA SANTOS,227.539,8644,34.61,96.8,0.581,11.36,18136.02541,16967.89797,7332.71
Materlândia,3140605,materlandiense,JOVENTINO MARIA FERREIRA,280.53,4436,16.38,97.9,0.597,16.13,15356.83948,12858.31982,9555.25
Mateus Leme,3140704,mateus-lemense,JULIO CEZAR NOGUEIRA FARES JUNIOR,301.383,31364,92.02,96.9,0.704,11.01,70815.29745,63605.9643,22568.25
Matias Barbosa,3140803,matiense,CARLOS ANTONIO DE CASTRO LOPES,157.066,14548,85.51,98.1,0.72,23.26,50051.88718,40979.4155,34958.76
Matias Cardoso,3140852,matiense,EDMARCIO MOURA LEAL,1940.598,11260,5.12,96.9,0.616,9.9,29233.44351,26191.89361,12185.51
Matipó,3140902,matipoense,VALTER MAGESTE DE ORNELAS,266.99,19005,66.07,97.7,0.631,19.93,39004.81498,36183.37818,12741.58
Mato Verde,3141009,mato-verdense,OSCAR LISANDRO TEIXEIRA,472.245,12412,26.86,97.2,0.662,35.46,30294.36843,26670.12742,9334.21
Matozinhos,3141108,matozinhense,ANTONIO DIVINO DE SOUZA,252.453,38151,134.59,99.2,0.731,13.94,80499.70281,21432.67077,26866.9
Matutina,3141207,matutinense,JOSE ADOLFO RIBEIRO JUNIOR,260.957,3741,14.41,95.4,0.707,41.67,14975.8653,11795.28844,16378.51
Medeiros,3141306,medeirense,FRANCISCO MARTINS RIBEIRO,946.437,3832,3.64,99.8,0.711,24.39,17385.84284,746.3128,32096.93
Medina,3141405,medinense,EVALDO LUCIO PEIXOTO SENA,1435.903,20759,14.64,95.9,0.624,12,40957.27783,39995.81265,10065.4
Mendes Pimentel,3141504,pimentelense,AYMORE MOREIRA DA SILVA,305.507,6446,20.72,98.1,0.626,13.51,17304.98813,15775.58984,8547.42
Mercês,3141603,mercesano,EDIMAR GUERRA DE PAULA,348.271,10758,29.77,97.9,0.664,19.8,27389.94856,24654.17868,10673.14
Mesquita,3141702,mesquitense,RONALDO DE OLIVEIRA,274.938,5546,22.07,98,0.656,31.25,16127.19712,13525.48611,7694.08
Minas Novas,3141801,minas-novense,AÉCIO GUEDES SOARES,1812.398,31497,16.99,97.1,0.633,15.77,51110.9278,44657.37182,7845.08
Minduri,3141900,mindurense,JOSE RONALDO DA SILVA,219.774,3893,17.47,96.5,0.658,28.57,17145.6616,15127.66714,17076.54
Mirabela,3142007,mirabelense,LUCIANO RABELO VELOSO,723.278,13620,18.03,98.7,0.665,21.74,30135.5141,26905.49461,8945.95
Miradouro,3142106,miradourense,ALMIRO MARQUES DE LACERDA FILHO,301.672,10787,33.98,98.3,0.663,28.99,26147.19237,22401.44509,12004.22
Miraí,3142205,miraiense,LUIZ FORTUCE,320.695,15111,43.06,98.2,0.68,6.45,31941.06678,30037.48782,16227.83
Miravânia,3142254,miravaniense,RAIMUNDO NONATO PEREIRA LUNA,602.128,4914,7.55,96,0.593,19.61,16623.26859,14418.62102,7543.03
Moeda,3142304,moedense,LEONARDO AUGUSTO MOURA BRAGA,155.112,4934,30.23,99.2,0.638,24.39,15924.7981,13362.18999,11904.03
Moema,3142403,moemense,JULVAN REZENDE ARAUJO LACERDA,202.705,7554,34.67,97.7,0.721,24.1,19955.94622,17579.57619,14209.8
Monjolos,3142502,monjolense,GERALDO EUSTÁQUIO MAIA DA SILVA,650.911,2202,3.63,97.4,0.65,47.62,13599.14336,11230.74292,17738.77
Monsenhor Paulo,3142601,paulense,LETICIA APARECIDA BELATO MARTINS,216.54,8727,37.69,99.2,0.721,23.81,21816.53351,23294.05297,22477.13
Montalvânia,3142700,montalvanense,JOSÉ FLORISVAL DE ORNELAS,1503.755,14747,10.55,96.2,0.613,5.03,30085.23098,24657.20733,8089.45
Monte Alegre de Minas,3142809,monte-alegrense,ÚLTIMO BITENCOURT DE FREITAS,2595.957,21236,7.56,94.5,0.674,7.17,71267.64262,64171.95104,26149.13
Monte Azul,3142908,monte-azulense,ALEXANDRE AUGUSTO FERNANDES DE OLIVEIRA,1001.296,20696,22.12,98.3,0.659,21.83,38070.29941,35340.5161,8752.04
